"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"ENSG00000011638.10",1382,653,766,982,839,682,1048,443,838,1382,1268
"ENSG00000011677.12",21,1,1,0,1,0,2,4,1,0,0
"ENSG00000012048.20",298,217,277,194,218,378,279,195,253,252,265
"ENSG00000012061.15",1157,914,998,847,1152,1218,1126,841,880,1125,982
"ENSG00000012124.16",139,159,28,77,100,16,80,99,456,219,121
"ENSG00000012171.19",3154,1244,2572,1483,3355,1062,1990,4640,2536,4249,2867
"ENSG00000012174.11",953,732,573,479,644,1004,635,533,656,786,796
"ENSG00000012211.12",212,219,244,165,200,220,212,130,246,242,269
"ENSG00000012223.12",50,50,60,178,78,47,57,60,186,37,79
"ENSG00000012232.8",2514,6698,2069,1339,2704,2774,2095,1333,6185,2657,2354
"ENSG00000012504.13",0,0,0,6,7,0,3,0,8,0,0
"ENSG00000012660.13",2908,3630,3408,2150,3004,5353,3045,1784,3301,2832,3433
"ENSG00000012779.10",265,1067,590,423,488,812,462,672,599,412,500
"ENSG00000012817.15",0,0,0,1,0,0,0,0,72,0,0
"ENSG00000012822.15",2417,1629,2228,1830,1991,1741,2444,1685,2067,2680,2248
"ENSG00000012963.14",707,613,519,435,656,785,678,538,605,727,619
"ENSG00000012983.11",3109,1946,1597,1983,1837,3400,2107,1429,1725,2392,2370
"ENSG00000013016.15",518,444,287,246,557,399,386,252,501,333,618
"ENSG00000013275.7",1226,1246,1391,1069,1286,2064,1294,848,1296,1364,1466
"ENSG00000013288.8",3373,2909,2738,2540,2525,2743,3611,2611,3214,3968,3732
"ENSG00000013293.5",0,0,0,0,0,0,0,0,1,1,0
"ENSG00000013297.10",138,22,29,8,36,45,42,9,23,639,49
"ENSG00000013306.15",950,1103,1064,1106,1177,1441,1054,866,1088,1473,1115
"ENSG00000013364.18",3257,4989,5970,4242,5197,7149,4784,3230,4369,4483,5371
"ENSG00000013374.15",1567,1264,1245,1281,1342,1563,1646,1192,1775,1552,1604
"ENSG00000013375.15",1574,1702,968,912,1212,2653,930,1069,1085,1230,1216
"ENSG00000013392.7",196,141,161,135,179,225,183,112,156,247,193
"ENSG00000013441.15",1212,1260,623,1281,769,893,799,600,632,684,626
"ENSG00000013503.9",494,430,301,228,403,556,345,220,432,393,327
"ENSG00000013523.9",613,581,436,560,545,671,652,449,552,602,518
"ENSG00000013561.17",1492,1274,1450,1046,1370,1983,1412,1161,1343,1707,1575
"ENSG00000013563.13",537,591,638,436,808,814,760,731,660,574,628
"ENSG00000013573.16",190,97,163,258,71,216,75,197,76,267,282
"ENSG00000013583.8",778,611,765,621,633,680,584,428,722,1075,766
"ENSG00000013588.7",1003,6620,1383,3789,1991,3713,1184,2764,2783,797,1253
"ENSG00000013619.13",266,333,155,441,439,438,479,466,328,336,228
"ENSG00000013725.14",33,24,34,44,71,13,25,94,62,20,50
"ENSG00000013810.18",165,274,286,213,234,466,255,186,222,271,322
"ENSG00000014123.9",1576,1011,751,937,991,1634,1135,799,1085,1288,1207
"ENSG00000014138.8",249,266,249,203,209,389,258,163,258,277,262
"ENSG00000014164.6",553,667,475,454,448,627,517,333,609,561,545
"ENSG00000014216.15",2983,2866,2904,1936,3000,3212,3170,2154,3517,3761,3178
"ENSG00000014257.15",10,129,46,60,66,101,45,38,91,39,58
"ENSG00000014641.17",1973,1950,3510,2317,2848,3463,2342,1421,2592,3276,4167
"ENSG00000014824.13",1501,1176,1289,1179,1453,1978,1218,994,1296,1501,1586
"ENSG00000014914.20",566,249,222,178,262,198,419,224,237,320,288
"ENSG00000014919.12",788,700,600,485,662,779,723,427,777,810,768
"ENSG00000015133.18",359,188,192,236,204,294,364,257,262,248,263
"ENSG00000015153.14",408,351,323,345,377,515,324,261,268,364,347
"ENSG00000015171.19",3935,2235,2796,2858,2887,3963,2958,2060,2853,4078,3388
"ENSG00000015285.10",160,499,307,271,274,458,248,282,342,213,289
"ENSG00000015413.9",3,18,4,14,11,1,1,7,17,2,1
"ENSG00000015475.18",220,453,441,354,382,569,320,203,272,329,346
"ENSG00000015479.18",296,271,121,349,124,218,196,173,109,152,134
"ENSG00000015520.14",14,18,11,35,19,1,21,8,25,30,14
